question,prompt_used,target_answer,predicted_answer,is_correct,latency_ms,subject,emotion
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I dried the fine china with the laundromat dryer. Scenario 2 | I went to the sea to go fishing for dolphins.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,B,False,7211.85,moral_scenarios,original
Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,"Question: Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?

Options:
A. 1
B. 2
C. 3
D. 4

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,5153.38,public_relations,original
Statutes are often called ________ law.,"Question: Statutes are often called ________ law.

Options:
A. quasi
B. qualified
C. collaborated
D. codified

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4320.87,jurisprudence,original
What type of organisational culture is most likely to deliver stability and efficiency?,"Question: What type of organisational culture is most likely to deliver stability and efficiency?

Options:
A. Task culture
B. Role culture
C. Power culture
D. People culture

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4767.23,management,original
"Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.","Question: Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.

Options:
A. proactive
B. reactive
C. manipulative
D. manipulative

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,8194.89,public_relations,original
"A man borrowed $150,000 from a bank to remodel his home and executed a promissory note agreeing to repay the loan over a 10-year period. The loan was secured by a mortgage on the home. The bank promptly recorded the mortgage, which was the only lien on the home at that time. Several months later, the man borrowed $40,000 from his mother in order to purchase a new truck and gave his mother a mortgage on the home to secure repayment of the debt. The mother promptly recorded the mortgage. The man later lost his job and was struggling to make loan payments to both the bank and his mother. To accommodate the man's financial situation, the bank extended the amortization period of its loan to substantially reduce the amount of each monthly payment. The bank did not alter the interest rate or increase the principal amount of the loan. At the time of the modification of the bank loan, the man was not in default in his payments to his mother. Neither the bank nor the man informed the mother of the modification of the bank loan. After the man later missed five payments to his mother, she commenced a foreclosure action. While the action was pending, the mother learned of the bank's loan modification. The mother asserted that her mortgage had become a first lien on the home and that the bank's mortgage had become a second lien. Is the mother's assertion correct?","Question: A man borrowed $150,000 from a bank to remodel his home and executed a promissory note agreeing to repay the loan over a 10-year period. The loan was secured by a mortgage on the home. The bank promptly recorded the mortgage, which was the only lien on the home at that time. Several months later, the man borrowed $40,000 from his mother in order to purchase a new truck and gave his mother a mortgage on the home to secure repayment of the debt. The mother promptly recorded the mortgage. The man later lost his job and was struggling to make loan payments to both the bank and his mother. To accommodate the man's financial situation, the bank extended the amortization period of its loan to substantially reduce the amount of each monthly payment. The bank did not alter the interest rate or increase the principal amount of the loan. At the time of the modification of the bank loan, the man was not in default in his payments to his mother. Neither the bank nor the man informed the mother of the modification of the bank loan. After the man later missed five payments to his mother, she commenced a foreclosure action. While the action was pending, the mother learned of the bank's loan modification. The mother asserted that her mortgage had become a first lien on the home and that the bank's mortgage had become a second lien. Is the mother's assertion correct?

Options:
A. No, because the bank's loan modification was not detrimental to the rights of the mother.
B. No, because the man was not in default in his payments to his mother at the time of the bank's loan modification.
C. Yes, because the bank's loan modification was made without the mother's prior consent.
D. Yes, because the bank's loan modification was material.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D.,False,35583.9,professional_law,original
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is","Question: White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is

Options:
A. 500 nm
B. 550 nm
C. 600 nm
D. 650 nm

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,To solve,False,7019.11,college_physics,original
A person who recognizes a need to change certain behavior but exhibits ambivalence would most likely be in which stage of change?,"Question: A person who recognizes a need to change certain behavior but exhibits ambivalence would most likely be in which stage of change?

Options:
A. Precontemplation stage
B. Indicative stage
C. Contemplation stage
D. Maintenance stage

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,A.,False,5072.51,professional_psychology,original
"A graduate of law school received notice that she had successfully passed the bar exam. To celebrate passing, the graduate went out with a few friends to a popular campus bar. The graduate's friend ordered a round of Hula Girls for everyone. A Hula Girl is an extremely potent alcoholic drink consisting. of 2 ounces of dry gin, 1 ounce of French vermouth, and 1 teaspoon of grenadine. After the drink is mixed, it is then served in a glass with an inverted lemon peel, which is cut at the ends to represent a grass skirt. Although the graduate had never heard of a Hula Girl, she was in a festive mood and drank it, anyway. A few minutes later, the graduate became very dizzy and attempted to stand up from the barstool. As she tried to walk to the restroom, she became nauseated and vomited over a customer sitting at a nearby table. The customer was embarrassed and greatly humiliated by the incident. If the customer asserts a claim against the graduate, the plaintiff will most likely","Question: A graduate of law school received notice that she had successfully passed the bar exam. To celebrate passing, the graduate went out with a few friends to a popular campus bar. The graduate's friend ordered a round of Hula Girls for everyone. A Hula Girl is an extremely potent alcoholic drink consisting. of 2 ounces of dry gin, 1 ounce of French vermouth, and 1 teaspoon of grenadine. After the drink is mixed, it is then served in a glass with an inverted lemon peel, which is cut at the ends to represent a grass skirt. Although the graduate had never heard of a Hula Girl, she was in a festive mood and drank it, anyway. A few minutes later, the graduate became very dizzy and attempted to stand up from the barstool. As she tried to walk to the restroom, she became nauseated and vomited over a customer sitting at a nearby table. The customer was embarrassed and greatly humiliated by the incident. If the customer asserts a claim against the graduate, the plaintiff will most likely

Options:
A. prevail, because the graduate's conduct was extreme and outrageous.
B. prevail, because an offensive touching resulted.
C. not prevail, because the graduate's actions were involuntary.
D. not prevail, because the graduate was unaware what she was drinking.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C,True,24496.35,professional_law,original
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"Question:  Which of the following are the three broad groups of organizational characteristics segmentation criteria?

Options:
A. Organizational size, industry type, and gender.
B. Psychographics, purchaser, and behavioural criteria.
C. Organizational size, industry type, and geographical location.
D. None of the above.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C.,True,5128.99,marketing,original
Which of the following scans can image brain function?,"Question: Which of the following scans can image brain function?

Options:
A. I only
B. II only
C. III only
D. II and III only

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,D,False,4705.01,high_school_psychology,original
"This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.… But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
—Andrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
The Zenger Case can best be compared to which of the following?","Question: This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.… But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
—Andrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
The Zenger Case can best be compared to which of the following?

Options:
A. Abraham Lincoln's suspension of habeas corpus during the Civil War
B. Government efforts to prevent the publication of the Pentagon Papers in 1971
C. The trial of the accused Haymarket Square bombers in 1886
D. The Brown v. Board of Education Supreme Court decision of 1954

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B,True,49206.71,high_school_us_history,original
"Before a federal court may address a case, it has to be justiciable, i.e., involve a case or controversy. Which of the following is not an additional limitation on federal court jurisdiction?","Question: Before a federal court may address a case, it has to be justiciable, i.e., involve a case or controversy. Which of the following is not an additional limitation on federal court jurisdiction?

Options:
A. It has to result in an advisory opinion
B. The issue has to be ripe
C. The issue can't be moot
D. A person must have a concrete stake in the outcome.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A,True,6940.34,professional_law,original
"In the author's two-hour movie representing the history of the universe, when do the earliest members of the human family appear?","Question: In the author's two-hour movie representing the history of the universe, when do the earliest members of the human family appear?

Options:
A. at the beginning of the film
B. about half way through the film
C. 90 minutes into the film
D. during the final 3 seconds of the film

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,C,False,5719.36,prehistory,original
Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which of the following therapies is the therapist employing?,"Question: Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which of the following therapies is the therapist employing?

Options:
A. psychoanalysis
B. systematic desensitization
C. flooding
D. rational emotive

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,5515.62,high_school_psychology,original
Who was the first American president to visit communist China?,"Question: Who was the first American president to visit communist China?

Options:
A. Richard Nixon
B. George H. W. Bush
C. Jimmy Carter
D. Ronald Reagan

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,4600.69,us_foreign_policy,original
"____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.","Question: ____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.

Options:
A. Eco-strategy
B. Green Marketing
C. Superfund reauthorization
D. Recycle and reprocess management

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,5340.03,business_ethics,original
"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberals—if we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
All of the following are factors that contributed to the prominence of conservatism in the late 1970s and 1980s EXCEPT","Question: This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberals—if we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
All of the following are factors that contributed to the prominence of conservatism in the late 1970s and 1980s EXCEPT

Options:
A. the success of the Libertarian party in national elections
B. the growth of religious fundamentalism
C. perceived economic and foreign policy failures under President Carter
D. social changes following the Civil Rights movement and Vietnam War

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A,True,36248.9,high_school_us_history,original
"This question refers to the following information.
As a Jew, I have never believed in collective guilt. Only the guilty were guilty.
Children of killers are not killers but children. I have neither the desire nor the authority to judge today's generation for the unspeakable crimes committed by the generation of Hitler.
But we may—and we must—hold it responsible, not for the past, but for the way it remembers the past. And for what it does with the memory of the past. In remembering, you will help your own people vanquish the ghosts that hover over its history. Remember: a community that does not come to terms with the dead will continue to traumatize the living.
We remember Auschwitz and all that it symbolizes because we believe that, in spite of the past and its horrors, the world is worthy of salvation; and salvation, like redemption, can be found only in memory.
Elie Wiesel, ""Reflections of a Survivor,"" 1987
From the passage, one may infer that Wiesel asserted that remembering the Holocaust","Question: This question refers to the following information.
As a Jew, I have never believed in collective guilt. Only the guilty were guilty.
Children of killers are not killers but children. I have neither the desire nor the authority to judge today's generation for the unspeakable crimes committed by the generation of Hitler.
But we may—and we must—hold it responsible, not for the past, but for the way it remembers the past. And for what it does with the memory of the past. In remembering, you will help your own people vanquish the ghosts that hover over its history. Remember: a community that does not come to terms with the dead will continue to traumatize the living.
We remember Auschwitz and all that it symbolizes because we believe that, in spite of the past and its horrors, the world is worthy of salvation; and salvation, like redemption, can be found only in memory.
Elie Wiesel, ""Reflections of a Survivor,"" 1987
From the passage, one may infer that Wiesel asserted that remembering the Holocaust

Options:
A. was necessary for the German people to become reconciled to their own history
B. hindered the healing process for the German people
C. would ensure that it never occurred again
D. would allow the Jews to forgive the German people

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C,False,24169.5,high_school_european_history,original
"During the investigation of a chemical reaction by a chemistry student, she was able to determine that the reaction was nonspontaneous at 1 atm and 298 K. However, she learned that cooling the system with dry ice (-78°C) caused the reaction to become spontaneous. Which of the following combinations must apply to this reaction?","Question: During the investigation of a chemical reaction by a chemistry student, she was able to determine that the reaction was nonspontaneous at 1 atm and 298 K. However, she learned that cooling the system with dry ice (-78°C) caused the reaction to become spontaneous. Which of the following combinations must apply to this reaction?

Options:
A. ΔH < 0, ΔS < 0, and ΔG = 0
B. ΔH > 0, ΔS < 0, and ΔG > 0
C. ΔH < 0, ΔS < 0, and ΔG > 0
D. ΔH > 0, ΔS > 0, and ΔG > 0

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,15575.52,high_school_chemistry,original
"A state has recently released medical statistics showing that the number of new AIDS cases within the state has quadrupled from the preceding year. In 2008, the state reported that 2,250 people were diagnosed as being stricken with the AIDS virus. However, in 2009 the state confirmed that over 9,000 new persons contracted the deadly virus. In an effort to improve the health care of AIDS patients in the state, the Legislature has enacted a law providing public funds to assist privately owned hospitals. According to the law, every hospital in the state would receive $5,000 annually for each AIDS patient who was admitted to that hospital, and whose period of hospitalization exceeded one week. Although this bill was initially opposed by several churches and other organizations, the state's legislature re-drafted the bill in a compromise effort to appease the opposition. In its final re-draft, the bill provided that the $5,000 annual subsidy ""would not be paid to any hospital performing abortions. ""Which of the following is the strongest argument against the constitutionality of the state's statute?","Question: A state has recently released medical statistics showing that the number of new AIDS cases within the state has quadrupled from the preceding year. In 2008, the state reported that 2,250 people were diagnosed as being stricken with the AIDS virus. However, in 2009 the state confirmed that over 9,000 new persons contracted the deadly virus. In an effort to improve the health care of AIDS patients in the state, the Legislature has enacted a law providing public funds to assist privately owned hospitals. According to the law, every hospital in the state would receive $5,000 annually for each AIDS patient who was admitted to that hospital, and whose period of hospitalization exceeded one week. Although this bill was initially opposed by several churches and other organizations, the state's legislature re-drafted the bill in a compromise effort to appease the opposition. In its final re-draft, the bill provided that the $5,000 annual subsidy ""would not be paid to any hospital performing abortions. ""Which of the following is the strongest argument against the constitutionality of the state's statute?

Options:
A. The statute violates the establishment clause of the First Amendment, as incorporated into the Fourteenth Amendment, by adopting the controversial views of particular churches on abortion.
B. The statute violates the Fourteenth Amendment by conditioning the availability of public funds upon the recipient's agreement to act in a way that makes more difficult the exercise by others of their fundamental constitutional rights.
C. The statute violates the equal protection clause of the Fourteenth Amendment by denying nonAIDS patients the same subsidy benefits as those received by AIDS patients.
D. The state will be unable to show it is advancing a legitimate governmental interest.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,29815.76,professional_law,original
"The hydrogen lines observed in the spectrum of the quasar 3C9 are shifted so far into the red that their wavelengths are three times as long as those observed in the light from hydrogen atoms at rest in a laboratory on Earth. If it is assumed that the shift is entirely due to the relative motion of 3C9 and Earth, the relative speed of the quasar is","Question: The hydrogen lines observed in the spectrum of the quasar 3C9 are shifted so far into the red that their wavelengths are three times as long as those observed in the light from hydrogen atoms at rest in a laboratory on Earth. If it is assumed that the shift is entirely due to the relative motion of 3C9 and Earth, the relative speed of the quasar is

Options:
A. 2c
B. c
C. 0.8c
D. 0.5c

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,To solve,False,7556.32,college_physics,original
"In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. The devil says, ""Don't give him anything, you'll make better use of the money than he will."" The angel says, ""Give him the money because he needs it more than you do."" The character gives the homeless man half of his money. In a Freudian interpretation, the angel represents the character's","Question: In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. The devil says, ""Don't give him anything, you'll make better use of the money than he will."" The angel says, ""Give him the money because he needs it more than you do."" The character gives the homeless man half of his money. In a Freudian interpretation, the angel represents the character's

Options:
A. libido
B. id
C. ego
D. superego

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,8445.82,high_school_psychology,original
It is a monetarist point of view that,"Question: It is a monetarist point of view that

Options:
A. monetary policy should be used to fine-tune the economy
B. crowding out is not a problem
C. the money supply should be increased steadily
D. the velocity of money is unstable

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,A,False,4561.29,high_school_macroeconomics,original
 Huemer argues that there is no reason to think that the harms of drug use are in an important sense,"Question:  Huemer argues that there is no reason to think that the harms of drug use are in an important sense

Options:
A. more harmful on average than legally permitted harmful activities.
B. differing from the harms of other legally permitted harmful activities.
C. more detrimental to a person's character than otherslegally permitted harmful activities.
D. All of the above.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,6640.43,moral_disputes,original
"Let l = [1,2,3,4]. What is max(l) in Python3?","Question: Let l = [1,2,3,4]. What is max(l) in Python3?

Options:
A. 1
B. 2
C. 3
D. 4

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4521.2,high_school_computer_science,original
"During a study of renal glomeruli, a healthy animal kidney is kept in a vascular bath preparation at a constant afferent arterial pressure of 100 mm Hg. If the efferent arteriole is constricted with a vascular clamp, which of the following Starling forces is most likely to change in the glomeruli?","Question: During a study of renal glomeruli, a healthy animal kidney is kept in a vascular bath preparation at a constant afferent arterial pressure of 100 mm Hg. If the efferent arteriole is constricted with a vascular clamp, which of the following Starling forces is most likely to change in the glomeruli?

Options:
A. Decreased filtration coefficient (Kf)
B. Decreased hydrostatic pressure
C. Decreased oncotic pressure
D. Increased hydrostatic pressure

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,B.,False,8325.08,professional_medicine,original
"A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?","Question: A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?

Options:
A. 3,650
B. 3,750
C. 4,650
D. 4,750

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,To find,False,5178.24,elementary_mathematics,original
"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?","Question: Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?

Options:
A. Fluorine has a very high electronegativity; therefore the H-F bond is stronger than any other H-X bond.
B. HF is smaller than any other H-X molecule; therefore it exhibits stronger London dispersion forces.
C. The dipoles in a HF molecule exhibit a particularly strong attraction force to the dipoles in other HF molecules.
D. The H-F bond is the most ionic in character compared to all other hydrogen halides.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,A,False,8908.68,high_school_chemistry,original
"If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?","Question: If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?

Options:
A. 4
B. 2
C. 1
D. 9

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,B.,False,4889.86,high_school_mathematics,original
